q      	sum          	Hg-I_2       	H_1-I_2      	I_2-I_2      	I_1-I_2      	O-Hg         	O-I_1        	H_2-Hg       	C-I_1        	H_1-I_1      	H_1-H_1      	C-C          	O-O          	H_2-H_2      	C-H_2        	O-I_2        	C-H_1        	C-I_2        	Hg-I_1       	O-H_2        	Hg-Hg        	H_1-H_2      	H_2-I_1      	O-H_1        	O-C          	H_1-Hg       	I_1-I_1      	H_2-I_2      	C-Hg        
0.265 	37458.4     	6463.94     	-224.021    	2787.91     	3196.58     	-813.136    	-508.766    	-174.517    	-553.69     	-187.612    	-1743.95    	3949.46     	7836.47     	385.799     	226.198     	-603.884    	561.823     	-614.28     	6463.94     	226.506     	6363.47     	73.8397     	-96.6494    	1671.69     	1356.51     	-278.012    	2787.91     	-108.498    	-986.611    
0.275 	37213.7     	6415.88     	-223.392    	2786.29     	3093.84     	-709.965    	-402.263    	-178.275    	-547.222    	-131.53     	-1736.14    	3865.54     	7812.41     	384.744     	206.675     	-604.225    	535.071     	-611.316    	6415.88     	207.705     	6361.11     	66.1843     	-97.8861    	1664.59     	1184.56     	-217.926    	2786.29     	-107.795    	-1005.11    
0.285 	36974.8     	6366.29     	-222.578    	2784.61     	2989.26     	-623.59     	-309.097    	-181.184    	-539.991    	-82.9214    	-1726.21    	3793.93     	7794.28     	383.659     	188.663     	-603.119    	508.317     	-607.919    	6366.29     	188.999     	6358.67     	58.0744     	-98.703     	1663.65     	1035.65     	-168.64     	2784.61     	-106.94     	-1019.27    
0.295 	36747.2     	6315.19     	-221.64     	2782.87     	2883.03     	-557.625    	-233.299    	-183.279    	-532.661    	-43.8573    	-1713.56    	3737.73     	7785.4      	382.583     	173.065     	-600.749    	482.696     	-604.62     	6315.19     	171.094     	6356.13     	49.7641     	-99.1273    	1671.68     	915.818     	-132.124    	2782.87     	-106.04     	-1029.35    
0.305 	36535.3     	6262.6      	-220.652    	2781.07     	2775.34     	-514.325    	-177.774    	-184.616    	-525.815    	-15.8076    	-1697.73    	3698.97     	7788.37     	381.548     	160.572     	-597.329    	459.152     	-601.83     	6262.6      	154.565     	6353.52     	41.4813     	-99.1926    	1690.88     	829.068     	-109.551    	2781.07     	-105.181    	-1035.71    
0.315 	36342.2     	6208.56     	-219.687    	2779.22     	2666.36     	-494.552    	-144.228    	-185.268    	-519.93     	0.393067    	-1678.47    	3678.55     	7805.01     	380.581     	151.651     	-593.095    	438.409     	-599.831    	6208.56     	139.839     	6350.82     	33.4221     	-98.9376    	1722.8      	777.285     	-101.282    	2779.22     	-104.428    	-1038.81    
0.325 	36169.7     	6153.09     	-218.818    	2777.31     	2556.31     	-497.804    	-133.148    	-185.32     	-515.363    	4.55156     	-1655.64    	3676.32     	7836.33     	379.7       	146.54      	-588.289    	420.96      	-598.773    	6153.09     	127.19      	6348.04     	25.7456     	-98.4051    	1768.32     	760.294     	-106.889    	2777.31     	-103.823    	-1039.14    
0.335 	36018.4     	6096.22     	-218.107    	2775.35     	2445.35     	-522.311    	-143.848    	-184.873    	-512.348    	-2.90898    	-1629.32    	3691.11     	7882.53     	378.916     	145.255     	-583.137    	407.065     	-598.68     	6096.22     	116.74      	6345.17     	18.5719     	-97.64      	1827.6      	776.001     	-125.224    	2775.35     	-103.385    	-1037.28    
0.345 	35887.8     	6037.97     	-217.599    	2773.33     	2333.69     	-565.191    	-174.555    	-184.03     	-510.986    	-21.0014    	-1599.72    	3720.87     	7943.05     	378.233     	147.604     	-577.844    	396.758     	-599.461    	6037.97     	108.468     	6342.22     	11.9811     	-96.6878    	1900.2      	820.637     	-154.512    	2773.33     	-103.114    	-1033.76    
0.355 	35776.8     	5978.39     	-217.319    	2771.25     	2221.52     	-622.656    	-222.555    	-182.898    	-511.25     	-48.2511    	-1567.18    	3762.84     	8016.69     	377.65      	153.216     	-572.57     	389.865     	-600.922    	5978.39     	102.222     	6339.18     	6.0143      	-95.593     	1985.06     	889.055     	-192.476    	2771.25     	-102.988    	-1029.15    
0.365 	35683.2     	5917.49     	-217.266    	2769.12     	2109.03     	-690.249    	-284.371    	-181.583    	-512.998    	-82.7924    	-1532.18    	3813.75     	8101.68     	377.156     	161.575     	-567.425    	386.03      	-602.792    	5917.49     	97.7404     	6336.07     	0.675986    	-94.3975    	2080.65     	975.099     	-236.482    	2769.12     	-102.972    	-1023.96    
0.375 	35604.7     	5855.31     	-217.408    	2766.94     	1996.41     	-763.11     	-355.97     	-180.183    	-515.979    	-122.48     	-1495.26    	3870        	8195.81     	376.74      	172.051     	-562.457    	384.748     	-604.746    	5855.31     	94.6753     	6332.87     	-4.06231    	-93.1393    	2185.04     	1071.99     	-283.691    	2766.94     	-103.02     	-1018.64    
0.385 	35538.5     	5791.88     	-217.684    	2764.7      	1883.84     	-836.251    	-432.987    	-178.788    	-519.856    	-165.007    	-1457.02    	3927.92     	8296.57     	376.385     	183.951     	-557.647    	385.399     	-606.424    	5791.88     	92.6187     	6329.59     	-8.25713    	-91.8511    	2296.01     	1172.73     	-331.221    	2764.7      	-103.076    	-1013.57    
0.395 	35482.1     	5727.23     	-218.001    	2762.4      	1771.51     	-904.825    	-510.963    	-177.472    	-524.223    	-208.028    	-1418.1     	3983.92     	8401.35     	376.071     	196.553     	-552.909    	387.291     	-607.466    	5727.23     	91.1294     	6326.23     	-11.9875    	-90.5593    	2411.22     	1270.5      	-376.298    	2762.4      	-103.082    	-1009.03    
0.405 	35432.8     	5661.4      	-218.241    	2760.06     	1659.61     	-964.374    	-585.566    	-176.294    	-528.633    	-249.278    	-1379.11    	4034.72     	8507.48     	375.779     	209.15      	-548.093    	389.7       	-607.526    	5661.4      	89.7605     	6322.78     	-15.3493    	-89.2835    	2528.25     	1359.01     	-416.402    	2760.06     	-102.98     	-1005.2     
0.415 	35388.5     	5594.42     	-218.26     	2757.66     	1548.32     	-1011.06    	-652.809    	-175.295    	-532.618    	-286.682    	-1340.65    	4077.52     	8612.46     	375.488     	221.087     	-542.99     	391.906     	-606.302    	5594.42     	88.0844     	6319.26     	-18.4484    	-88.0358    	2644.81     	1432.82     	-449.386    	2757.66     	-102.719    	-1002.16    
0.425 	35347.2     	5526.31     	-217.899    	2755.2      	1437.82     	-1041.82    	-709.232    	-174.498    	-535.714    	-318.449    	-1303.24    	4110.1      	8714.04     	375.18      	231.794     	-537.35     	393.232     	-603.55     	5526.31     	85.7156     	6315.65     	-21.3958    	-86.821     	2758.77     	1487.59     	-473.578    	2755.2      	-102.255    	-999.879    
0.435 	35307.8     	5457.13     	-216.992    	2752.7      	1328.27     	-1054.55    	-752.059    	-173.906    	-537.487    	-343.152    	-1267.31    	4130.95     	8810.33     	374.839     	240.812     	-530.891    	393.072     	-599.099    	5457.13     	82.3291     	6311.97     	-24.3009    	-85.637     	2868.31     	1520.25     	-487.844    	2752.7      	-101.554    	-998.24     
0.445 	35269.2     	5386.89     	-215.373    	2750.14     	1219.86     	-1048.13    	-779.312    	-173.504    	-537.555    	-359.782    	-1233.18    	4139.31     	8899.86     	374.451     	247.81      	-523.322    	390.922     	-592.86     	5386.89     	77.6747     	6308.21     	-27.2677    	-84.4748    	2971.97     	1529.12     	-491.631    	2750.14     	-100.594    	-997.031    
0.455 	35231.2     	5315.64     	-212.887    	2747.53     	1112.75     	-1022.48    	-789.88     	-173.259    	-535.602    	-367.782    	-1201.09    	4135.15     	8981.65     	374.006     	252.596     	-514.361    	386.39      	-584.83     	5315.64     	71.5859     	6304.36     	-30.3898    	-83.32      	3068.68     	1513.92     	-484.972    	2747.53     	-99.3699    	-995.972    
