q      	H_1-I_2      	H_2-Hg       	C-I_1        	H_1-I_1      	C-I_2        	O-H_2        	H_2-I_1      	O-H_1        	O-C          	H_1-Hg       	H_2-I_2      	C-Hg        
1.305 	-53.9294    	-18.4437    	-372.615    	-27.3514    	-312.902    	-1053.66    	-35.6089    	13668.5     	1509.25     	-225.951    	-27.765     	-223.291    
1.315 	-50.4986    	-18.2035    	-360.996    	-20.6806    	-313.675    	-1038.27    	-34.6719    	13571       	1692.61     	-225.191    	-27.7404    	-233.604    
1.325 	-47.2934    	-17.8248    	-346.874    	-12.5081    	-313.376    	-1021.16    	-33.6473    	13461.1     	1888.89     	-223.58     	-27.5703    	-241.451    
1.335 	-44.3396    	-17.2474    	-330.489    	-3.23414    	-311.818    	-1002.27    	-32.5382    	13339.4     	2098.74     	-221.446    	-27.2466    	-246.305    
1.345 	-41.6415    	-16.4225    	-312.153    	6.69422     	-308.847    	-981.518    	-31.3479    	13206.4     	2322.63     	-219.083    	-26.7672    	-247.775    
1.355 	-39.1854    	-15.3146    	-292.239    	16.8077     	-304.345    	-958.86     	-30.08      	13062.8     	2560.85     	-216.734    	-26.1354    	-245.61     
1.365 	-36.9429    	-13.9033    	-271.164    	26.6401     	-298.234    	-934.242    	-28.7389    	12909.2     	2813.47     	-214.577    	-25.3589    	-239.714    
1.375 	-34.8753    	-12.1843    	-249.372    	35.7523     	-290.477    	-907.629    	-27.3298    	12746.5     	3080.46     	-212.719    	-24.4495    	-230.143    
1.385 	-32.9369    	-10.1694    	-227.315    	43.7534     	-281.078    	-879.007    	-25.8588    	12575.2     	3361.62     	-211.192    	-23.4214    	-217.103    
1.395 	-31.0793    	-7.8862     	-205.436    	50.3194     	-270.081    	-848.381    	-24.333     	12396.2     	3656.68     	-209.956    	-22.2907    	-200.937    
1.405 	-29.2546    	-5.3762     	-184.143    	55.207      	-257.563    	-815.779    	-22.7606    	12210.2     	3965.35     	-208.907    	-21.0744    	-182.108    
1.415 	-27.4183    	-2.69333    	-163.802    	58.2625     	-243.635    	-781.256    	-21.1508    	12018.2     	4287.28     	-207.887    	-19.7892    	-161.178    
1.425 	-25.5321    	0.0988565   	-144.712    	59.4265     	-228.431    	-744.889    	-19.5136    	11821       	4622.21     	-206.7      	-18.451     	-138.781    
1.435 	-23.5651    	2.93009     	-127.1      	58.7331     	-212.103    	-706.781    	-17.8597    	11619.6     	4969.87     	-205.127    	-17.074     	-115.596    
1.445 	-21.4955    	5.7267      	-111.107    	56.3038     	-194.816    	-667.059    	-16.2001    	11414.9     	5330.09     	-202.943    	-15.6707    	-92.3195    
1.455 	-19.311     	8.41503     	-96.7872    	52.3387     	-176.738    	-625.871    	-14.546     	11207.8     	5702.74     	-199.938    	-14.251     	-69.6331    
1.465 	-17.0086    	10.9248     	-84.1067    	47.1022     	-158.035    	-583.385    	-12.9082    	10999.5     	6087.74     	-195.927    	-12.8223    	-48.1781    
1.475 	-14.5942    	13.1924     	-72.9458    	40.9078     	-138.862    	-539.79     	-11.2971    	10790.7     	6485.01     	-190.769    	-11.39      	-28.5294    
1.485 	-12.0813    	15.1634     	-63.1076    	34.0998     	-119.361    	-495.288    	-9.72239    	10582.4     	6894.45     	-184.374    	-9.95713    	-11.1737    
1.495 	-9.49023    	16.7956     	-54.3299    	27.0348     	-99.654     	-450.094    	-8.19244    	10375.5     	7315.86     	-176.712    	-8.52488    	3.50739     
1.505 	-6.84618    	18.0601     	-46.2992    	20.0636     	-79.8419    	-404.437    	-6.71448    	10170.6     	7748.86     	-167.815    	-7.09328    	15.2504     
1.515 	-4.17775    	18.9428     	-38.6675    	13.5139     	-60.0022    	-358.554    	-5.29431    	9968.34     	8192.87     	-157.778    	-5.66154    	23.9166     
1.525 	-1.51534    	19.4452     	-31.0715    	7.67517     	-40.1896    	-312.688    	-3.93621    	9769.36     	8647        	-146.751    	-4.22869    	29.4942     
1.535 	1.1104      	19.5833     	-23.1511    	2.78613     	-20.4379    	-267.088    	-2.64301    	9573.98     	9110        	-134.935    	-2.79416    	32.0941     
1.545 	3.66992     	19.3876     	-14.5689    	-0.974536   	-0.763695   	-222.007    	-1.41615    	9382.45     	9580.19     	-122.568    	-1.35829    	31.9414     
1.555 	6.13591     	18.9009     	-5.02763    	-3.49394    	18.8294     	-177.699    	-0.25583    	9194.9      	10055.4     	-109.914    	0.0771341   	29.3627     
1.565 	8.48416     	18.1763     	5.71381     	-4.72714    	38.3449     	-134.418    	0.838785    	9011.28     	10533.1     	-97.2474    	1.50858     	24.7688     
1.575 	10.6941     	17.2749     	17.8273     	-4.69573    	57.7872     	-92.4172    	1.8693      	8831.43     	11010       	-84.8406    	2.93046     	18.6353     
1.585 	12.7493     	16.2627     	31.4059     	-3.48318    	77.1547     	-51.9467    	2.83782     	8655.08     	11482.7     	-72.9481    	4.335       	11.4811     
1.595 	14.6372     	15.2076     	46.458      	-1.22718    	96.4341     	-13.2511    	3.74666     	8481.85     	11947       	-61.7946    	5.71227     	3.84587     
1.605 	16.3492     	14.1765     	62.9057     	1.8902      	115.594     	23.4322     	4.59811     	8311.29     	12398.6     	-51.5647    	7.05035     	-3.73213    
1.615 	17.8803     	13.232      	80.5872     	5.65416     	134.579     	57.8754     	5.39415     	8142.89     	12832.9     	-42.3942    	8.33557     	-10.7376    
1.625 	19.2281     	12.4301     	99.2633     	9.82969     	153.31      	89.8629     	6.13626     	7976.14     	13244.9     	-34.3657    	9.55297     	-16.6975    
1.635 	20.3931     	11.8179     	118.628     	14.1745     	171.675     	119.195     	6.82534     	7810.53     	13629.8     	-27.506     	10.6868     	-21.1982    
1.645 	21.3771     	11.4313     	138.32      	18.4515     	189.538     	145.688     	7.46158     	7645.57     	13982.8     	-21.7875    	11.721      	-23.8993    
1.655 	22.1836     	11.2942     	157.943     	22.4401     	206.733     	169.184     	8.04448     	7480.85     	14299.4     	-17.1326    	12.6401     	-24.5434    
1.665 	22.8162     	11.4174     	177.079     	25.9461     	223.07      	189.547     	8.57297     	7316.04     	14575.4     	-13.4197    	13.4295     	-22.9635    
1.675 	23.2791     	11.7989     	195.309     	28.8096     	238.344     	206.67      	9.0455      	7150.93     	14807.1     	-10.4925    	14.0764     	-19.0849    
1.685 	23.5762     	12.424      	212.232     	30.9106     	252.336     	220.477     	9.46023     	6985.39     	14991.5     	-8.16962    	14.5705     	-12.9245    
1.695 	23.7113     	13.2667     	227.48      	32.172      	264.826     	230.927     	9.81534     	6819.46     	15126.3     	-6.25615    	14.9039     	-4.58648    
1.705 	23.6876     	14.2909     	240.739     	32.5605     	275.6       	238.013     	10.1092     	6653.28     	15210       	-4.55441    	15.0724     	5.74558     
